ai_enabled,car_dirpath,car_id,car_make,car_model,car_name,car_name_abbreviated,car_types,car_weight,categories,created,first_sale,forum_url,free_with_subscription,has_headlights,has_multiple_dry_tire_types,has_rain_capable_tire_types,hp,price,price_display,rain_enabled,retired,search_filters,site_url
TRUE,dallarap217,128,Dallara,P217,Dallara P217,P217,"lmp2,p2,prototype,prototype,road",2050,sports_car,2020-08-05T13:35:01Z,2020-09-08T00:00:00Z,https://forums.iracing.com/categories/dallara-p217-lmp2,FALSE,TRUE,FALSE,TRUE,600,11.95,$11.95 ,TRUE,FALSE,"road,prototype,p2,prototype,lmp2",https://www.dallara.it/
FALSE,dirtmodified\358,134,Dirt Modified,358 Modified,Dirt 358 Modified,358MOD,"dirt,dirtoval",2551,dirt_oval,2020-11-09T18:26:42Z,2020-12-08T00:00:00Z,https://forums.iracing.com/categories/dirt-358-modified,FALSE,FALSE,FALSE,FALSE,510,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval",https://www.iracing.com/
FALSE,dirtmodified\bigblock,131,Dirt Modified,Big Block Modified,Dirt Big Block Modified,BBM,"dirt,dirtoval",2646,dirt_oval,2020-10-07T15:26:10Z,2020-12-08T00:00:00Z,https://forums.iracing.com/categories/super-dirtcar-big-block-modified,FALSE,FALSE,FALSE,FALSE,757,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval",http://www.iracing.com/
FALSE,dirtlatemodel\350,78,Dirt Late Model,350,Dirt Late Model - Limited,DLM350,"dirt,dirtoval,dlm",2250,dirt_oval,2016-07-29T13:54:41Z,2017-03-28T00:00:00Z,https://forums.iracing.com/categories/dirt-limited-late-model,FALSE,FALSE,FALSE,FALSE,400,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval,dlm",http://www.iracing.com
FALSE,dirtlatemodel\358,83,Dirt Late Model,358,Dirt Late Model - Pro,DLM358,"dirt,dirtoval,dlm",2250,dirt_oval,2016-11-08T14:03:16Z,2017-03-28T00:00:00Z,https://forums.iracing.com/categories/dirt-pro-late-model,FALSE,FALSE,FALSE,FALSE,700,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval,dlm",http://www.iracing.com
FALSE,dirtlatemodel\438,84,Dirt Late Model,438,Dirt Late Model - Super,DLM438,"dirt,dirtoval,dlm",2250,dirt_oval,2016-11-08T14:04:36Z,2017-03-28T00:00:00Z,,FALSE,FALSE,FALSE,FALSE,850,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval,dlm",http://www.iracing.com
FALSE,legends\dirtford34c,82,Legends,Dirt,Dirt Legends Ford '34 Coupe,LEG-D,"dirt,dirtoval,legends",1300,dirt_oval,2016-10-06T09:20:47Z,2008-02-05T00:00:00Z,,TRUE,FALSE,FALSE,FALSE,125,0,$0.00 ,FALSE,FALSE,"dirt,dirtoval,legends",
FALSE,dirtmicrosprint\nonwinged,181,,Non-Winged,Dirt Micro Sprint Car - Non-Winged,MSCNW,"dirt,dirtoval,sprintcar",755,dirt_oval,2024-01-02T14:18:27Z,2024-03-05T00:00:00Z,https://forums.iracing.com/categories/dirt-micro-sprint-car-winged-non-winged,TRUE,FALSE,FALSE,FALSE,120,0,$0.00 ,FALSE,FALSE,"dirt,dirtoval,sprintcar",
FALSE,dirtmicrosprint\winged,180,,Winged,Dirt Micro Sprint Car - Winged,MSCW,"dirt,dirtoval,sprintcar",780,dirt_oval,2024-01-02T14:14:22Z,2024-03-05T00:00:00Z,https://forums.iracing.com/categories/dirt-micro-sprint-car-winged-non-winged,TRUE,FALSE,FALSE,FALSE,120,0,$0.00 ,FALSE,FALSE,"dirt,dirtoval,sprintcar",
FALSE,dirtmidget,96,Dirt Midget,Dirt Midget,Dirt Midget,DM,"dirt,dirtoval,midget",1035,dirt_oval,2017-09-26T13:21:43Z,2017-12-04T00:00:00Z,https://forums.iracing.com/categories/dirt-midget,FALSE,FALSE,FALSE,FALSE,400,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval,midget",http://www.iracing.com
