track_id,track_name,track_type,track_type_text,track_types,ai_enabled,category,category_id,config_name,corners_per_lap,created,first_sale,folder,free_with_subscription,fully_lit,grid_stalls,has_opt_path,has_short_parade_lap,has_start_zone,is_dirt,is_oval,latitude,location,logo,longitude,max_cars,night_lighting,nominal_lap_time,number_pitstalls,opens,package_id,pit_road_speed_limit,price,price_display,rain_enabled,search_filters,site_url,sku,small_image,solo_laps,time_zone,track_config_length,track_dirpath
246,Autodromo Nazionale Monza,5,Road Course,[{'track_type': 'road'}],FALSE,road,2,Combined without first chicane,11,2015-02-27T14:19:35Z,2015-03-10T00:00:00Z,/img/tracks/autodromonazionalemonza,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,45.621799,"Monza, Lombardy, Italy",/img/logos/tracks/autodromonazionalemonza-logo.png,9.282606,69,FALSE,154.16,35,3/1/2022,172,50,14.95,$14.95 ,TRUE,road,http://www.monzanet.it/en,10383,autodromonazionalemonza-small.jpg,5,Europe/Rome,6.213,monza\historicsecondchicane
240,Autodromo Nazionale Monza,5,Road Course,[{'track_type': 'road'}],FALSE,road,2,Combined without chicanes,9,2015-02-03T15:43:22Z,2015-03-10T00:00:00Z,/img/tracks/autodromonazionalemonza,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,45.621799,"Monza, Lombardy, Italy",/img/logos/tracks/autodromonazionalemonza-logo.png,9.282606,69,FALSE,152.39,35,3/1/2022,172,50,14.95,$14.95 ,TRUE,road,http://www.monzanet.it/en,10383,autodromonazionalemonza-small.jpg,5,Europe/Rome,6.213,monza\historic
242,Autodromo Nazionale Monza,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,GP without chicanes,9,2015-02-03T15:48:06Z,2015-03-10T00:00:00Z,/img/tracks/autodromonazionalemonza,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,45.621799,"Monza, Lombardy, Italy",/img/logos/tracks/autodromonazionalemonza-logo.png,9.282606,69,FALSE,102.56,35,3/1/2022,172,50,14.95,$14.95 ,TRUE,road,http://www.monzanet.it/en,10383,autodromonazionalemonza-small.jpg,5,Europe/Rome,3.5,monza\nochicane
244,Autodromo Nazionale Monza,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,GP without first chicane,9,2015-02-24T14:41:12Z,2015-03-10T00:00:00Z,/img/tracks/autodromonazionalemonza,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,45.621799,"Monza, Lombardy, Italy",/img/logos/tracks/autodromonazionalemonza-logo.png,9.282606,69,FALSE,105.99,35,3/1/2022,172,50,14.95,$14.95 ,TRUE,road,http://www.monzanet.it/en,10383,autodromonazionalemonza-small.jpg,5,Europe/Rome,3.5,monza\gpsecondchicane
241,Autodromo Nazionale Monza,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Junior,4,2015-02-03T15:47:06Z,2015-03-10T00:00:00Z,/img/tracks/autodromonazionalemonza,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,45.621799,"Monza, Lombardy, Italy",/img/logos/tracks/autodromonazionalemonza-logo.png,9.282606,69,FALSE,50.8,35,3/1/2022,172,50,14.95,$14.95 ,TRUE,road,http://www.monzanet.it/en,10383,autodromonazionalemonza-small.jpg,5,Europe/Rome,1.494,monza\junior
243,Autodromo Nazionale Monza,3,Long Oval,[{'track_type': 'oval'}],FALSE,oval,1,Oval - Right turning,4,2015-02-03T15:49:31Z,2015-03-10T00:00:00Z,/img/tracks/autodromonazionalemonza,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,TRUE,45.621799,"Monza, Lombardy, Italy",/img/logos/tracks/autodromonazionalemonza-logo.png,9.282606,69,FALSE,50.09,35,3/1/2022,172,50,14.95,$14.95 ,FALSE,oval,http://www.monzanet.it/en,10383,autodromonazionalemonza-small.jpg,10,Europe/Rome,2.641,monza\oval
245,Autodromo Nazionale Monza,3,Long Oval,[{'track_type': 'oval'}],FALSE,oval,1,Oval - Left turning,4,2015-02-24T14:42:32Z,2015-03-10T00:00:00Z,/img/tracks/autodromonazionalemonza,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,TRUE,45.621799,"Monza, Lombardy, Italy",/img/logos/tracks/autodromonazionalemonza-logo.png,9.282606,69,FALSE,50.35,35,3/1/2022,172,50,14.95,$14.95 ,FALSE,oval,http://www.monzanet.it/en,10383,autodromonazionalemonza-small.jpg,10,Europe/Rome,2.641,monza\ovalleft
46,Barber Motorsports Park,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Full Course,16,2008-06-30T17:58:56Z,2008-07-23T00:00:00Z,/img/tracks/barbermotorsportspark,FALSE,FALSE,62,FALSE,TRUE,FALSE,FALSE,FALSE,33.5318079,"Leeds, Alabama, USA",/img/logos/tracks/barbermotorsportspark-logo.png,-86.6211086,61,FALSE,90.56,45,1/1/2018,33,45,14.95,$14.95 ,TRUE,road,http://www.barbermotorsports.com/,10012,barbermotorsportspark-small.jpg,5,America/Chicago,2.38,barber\full
99,Barber Motorsports Park,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Short A,11,2008-06-30T17:58:56Z,2008-07-23T00:00:00Z,/img/tracks/barbermotorsportspark,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,33.5318079,"Leeds, Alabama, USA",/img/logos/tracks/barbermotorsportspark-logo.png,-86.6211086,64,FALSE,61.32,45,1/1/2018,33,45,14.95,$14.95 ,TRUE,road,http://www.barbermotorsports.com/,10012,barbermotorsportspark-small.jpg,5,America/Chicago,1.45,barber\shorta
100,Barber Motorsports Park,5,Road Course,[{'track_type': 'road'}],FALSE,road,2,Short B,5,2008-06-30T17:58:56Z,2008-07-23T00:00:00Z,/img/tracks/barbermotorsportspark,FALSE,FALSE,62,FALSE,FALSE,FALSE,FALSE,FALSE,33.5318079,"Leeds, Alabama, USA",/img/logos/tracks/barbermotorsportspark-logo.png,-86.6211086,21,FALSE,32.2,11,1/1/2018,33,25,14.95,$14.95 ,TRUE,road,http://www.barbermotorsports.com/,10012,barbermotorsportspark-small.jpg,5,America/Chicago,0.75,barber\shortb
